ad_10m_wt_10m	ad_10m_ad_3m	ad_10m_wt_3m	wt_10m_ad_3m	wt_10m_wt_3m	ad_3m_wt_3m
1700008O03Rik	-0.00981588821641975	-0.00170358382294891	-0.243557517076933	0.00811230439347083	-0.233741628860514	-0.241853933253984
1700013F07Rik	-0.22758178629102	-0.0684785289295119	-0.265154510275292	0.159103257361508	-0.0375727239842719	-0.19667598134578
1700015F17Rik	-0.878428002949007	0.50123172048527	0.754091969375476	1.37965972343428	1.63251997232448	0.252860248890206
1700016K19Rik	-0.295682303387871	-0.175581338397957	-0.642266376365669	0.120100964989914	-0.346584072977798	-0.466685037967712
1700017B05Rik	0.35165147569845	0.331794152845268	0.371033464823936	-0.0198573228531818	0.0193819891254865	0.0392393119786683
1700018G05Rik	-0.4436506010149	0.265794688025396	-0.292242409108799	0.709445289040296	0.151408191906101	-0.558037097134195
1700019A02Rik	-0.249531834969507	-0.124244027382086	0.151554925961616	0.125287807587421	0.401086760931123	0.275798953343701
1700019D03Rik	-0.230138298935158	-0.439600179611569	-0.255093305355518	-0.209461880676411	-0.0249550064203605	0.184506874256051
1700020D05Rik	0.137316325584746	0.201410968894087	0.273981138130306	0.0640946433093415	0.13666481254556	0.072570169236219
1700020L24Rik	-0.418014209932739	-0.292061640736405	-0.410494487775144	0.125952569196334	0.00751972215759511	-0.118432847038739
1700022I11Rik	0.0014272001845373	0.0331087241387253	0.01462954023472	0.031681523954188	0.0132023400501827	-0.0184791839040053
1700025G04Rik	-0.225764505895287	-0.260175878114218	-0.392729672169686	-0.0344113722189312	-0.166965166274399	-0.132553794055468
1700028K03Rik	-0.230173054595713	-0.300837864930814	-0.362453118787212	-0.0706648103351015	-0.132280064191499	-0.0616152538563973
1700028P14Rik	-0.0615051163636879	-0.100093007345489	-0.396821107947047	-0.0385878909818012	-0.335315991583359	-0.296728100601558
1700029H14Rik	-1.10548037415775	0.0557330411854337	-0.0713482787472807	1.16121341534319	1.03413209541047	-0.127081319932714
1700029I15Rik	0.068403834329031	0.133417866715508	0.0154277309896545	0.0650140323864769	-0.0529761033393765	-0.117990135725853
1700029J07Rik	-0.023476609468635	-0.0577248933750246	0.0276593751483827	-0.0342482839063896	0.0511359846170176	0.0853842685234073
1700030J22Rik	-0.485819279160991	-0.34408510837675	-0.468097819599925	0.141734170784241	0.0177214595610659	-0.124012711223175
1700030K09Rik	-0.106251379778176	-0.121172838316887	-0.0466816163186081	-0.0149214585387113	0.0595697634595678	0.0744912219982791
1700034I23Rik	-0.161917487526821	-0.41971754828236	-0.536485290808794	-0.257800060755538	-0.374567803281972	-0.116767742526434
1700034J05Rik	-0.194816380773172	-0.281654023938764	-0.33862243590395	-0.0868376431655917	-0.143806055130778	-0.0569684119651858
1700037C18Rik	0.0184102136956624	0.0266795777663183	-0.20202071888214	0.00826936407065583	-0.220430932577803	-0.228700296648459
1700037H04Rik	-0.21400885696593	-0.1202472943435	-0.191483446516491	0.09376156262243	0.0225254104494393	-0.0712361521729907
1700064H15Rik	2.67034390725542	0.88242158970615	0.669543836587486	-1.78792231754927	-2.00080007066794	-0.212877753118665
1700066M21Rik	0.00506127207946451	-0.0514369398292575	0.0596267678215724	-0.056498211908722	0.0545654957421079	0.11106370765083
1700067K01Rik	-0.104323059434451	0.115232259987048	-0.293045189606106	0.219555319421499	-0.188722130171655	-0.408277449593155
1700086D15Rik	-0.31359641258998	-0.0733718937672165	-0.268302861540929	0.240224518822763	0.0452935510490511	-0.194930967773712
1700088E04Rik	0.364201881726082	0.556939175215438	0.380448709369202	0.192737293489356	0.0162468276431199	-0.176490465846236
1700092M07Rik	-0.659666431372302	-0.51306281473537	0.541565511900144	0.146603616636931	1.20123194327245	1.05462832663551
1700094D03Rik	-0.294067311984438	-0.307125648422796	-0.356144217334483	-0.0130583364383571	-0.0620769053500444	-0.0490185689116873
1700109H08Rik	-0.0045095332894081	-0.171219043173709	-0.144478516668341	-0.166709509884301	-0.139968983378933	0.026740526505368
1700123L14Rik	-0.475919817471355	-0.977662183058696	-1.04951554733911	-0.501742365587341	-0.573595729867753	-0.0718533642804126
1700123O20Rik	-0.165286114317022	-0.362933372952559	-0.289595712933724	-0.197647258635537	-0.124309598616702	0.0733376600188351
1810009A15Rik	-1.27740974206014	-0.853808499034558	0.726203108322205	0.423601243025578	2.00361285038234	1.58001160735676
1810010H24Rik	-0.46135984600536	-0.0866679456738167	-0.31875811656055	0.374691900331543	0.14260172944481	-0.232090170886733
1810013L24Rik	0.039227146316476	0.0155077222543593	-0.00555810960346862	-0.0237194240621168	-0.0447852559199447	-0.0210658318578279
1810020O05Rik	-0.404216936811013	-0.175079605240465	-0.519882286625995	0.229137331570548	-0.115665349814982	-0.34480268138553
1810030O07Rik	-0.0349818849756346	-0.153951373451067	-0.116351113609574	-0.118969488475432	-0.081369228633939	0.0376002598414931
1810037I17Rik	0.329747951872343	0.550211114115115	0.21889800422644	0.220463162242771	-0.110849947645903	-0.331313109888674
1810049J17Rik	0.165951445261954	0.37522348358011	0.536638859378263	0.209272038318156	0.370687414116309	0.161415375798152
1810055G02Rik	-0.171247961219315	-0.123418428380208	-0.377963216517536	0.0478295328391064	-0.206715255298221	-0.254544788137327
1810058I24Rik	0.39831009168046	0.270494198847954	0.219414838478815	-0.127815892832506	-0.178895253201645	-0.0510793603691387
2010003K11Rik	0.417632493842184	-0.500886049471869	0.125820037976754	-0.918518543314053	-0.29181245586543	0.626706087448623
2010106E10Rik	1.05262100033744	-0.115469152123244	1.23364202545198	-1.16809015246068	0.181021025114547	1.34911117757523
2010109A12Rik	-0.358264336214921	0.0803801953791738	-0.449440980945873	0.438644531594094	-0.091176644730952	-0.529821176325046
2010300C02Rik	-0.175427236303964	0.0147379974859902	-0.171487111836052	0.190165233789954	0.00394012446791149	-0.186225109322042
2010315B03Rik	-0.196072773425755	-0.182282019853987	-0.198179777495887	0.0137907535717686	-0.00210700407013181	-0.0158977576419004
2200002D01Rik	-0.16384343210178	-0.144806524223673	-0.1666363375379	0.0190369078781074	-0.00279290543611938	-0.0218298133142268
2210016F16Rik	-0.0595505877177605	-0.168978104384163	0.189214794140704	-0.109427516666402	0.248765381858464	0.358192898524866
2210016L21Rik	-0.179827001588716	0.0132810071842432	-0.0909929224866256	0.19310800877296	0.0888340791020908	-0.104273929670869
2210407C18Rik	0.184350653984467	0.00125678108543832	0.168921956809905	-0.183093872899029	-0.0154286971745622	0.167665175724466
2210408I21Rik	-0.059106354216244	-0.120355207252391	0.011175051864444	-0.0612488530361467	0.070281406080688	0.131530259116835
2300009A05Rik	0.156781513183487	-0.0821322405444764	0.201804899805381	-0.238913753727964	0.0450233866218939	0.283937140349858
2310009B15Rik	0.0737038315362758	0.139576318595382	-0.0047170395743511	0.0658724870591065	-0.0784208711106269	-0.144293358169733
2310011J03Rik	-0.0115849268567885	-0.0466190158510066	-0.0384032010302969	-0.035034088994218	-0.0268182741735084	0.00821581482070965
2310022A10Rik	-0.119654465675157	-0.0212984835035739	-0.211189789965316	0.0983559821715832	-0.0915353242901591	-0.189891306461742
2310022B05Rik	-0.0443437712497249	0.106620351346608	-0.0676741399754379	0.150964122596333	-0.023330368725713	-0.174294491322046
2310030G06Rik	0.00049241482855257	0.167951315412944	0.00391578716479435	0.167458900584392	0.00342337233624176	-0.16403552824815
2310033P09Rik	-0.156213287710109	-0.265464983356452	-0.112222702983623	-0.109251695646343	0.0439905847264857	0.153242280372828
2310034G01Rik	-0.423537702275712	0.034699911363973	-0.453762471829915	0.458237613639685	-0.0302247695542026	-0.488462383193888
2310039H08Rik	-0.0864872055161318	-0.0310907376749397	-0.23122871203562	0.0553964678411921	-0.144741506519488	-0.20013797436068
