Gene	Direction
Lrrk2	All
Lrrtm1	All
Lrrtm3	All
Lsp1	All
Lss	All
Ltbr	All
Ltc4s	All
Ly6e	All
Ly86	All
Ly9	All
Lyn	All
Lypd8	All
Lyz1	All
Lyz2	All
Lzts3	All
Mafb	All
Mamdc2	All
Man2b1	All
Man2b2	All
Map3k1	All
Map3k21	All
Marchf4	All
Mbd4	All
Mep1a	All
Mettl11b	All
Mettl7b	All
Mex3a	All
Mfap3l	All
Mfge8	All
Mfsd1	All
Mfsd2b	All
Mgme1	All
Mgst1	All
Mlc1	All
Mlxipl	All
Mmel1	All
Mmp28	All
Mn1	All
Mnat1	All
Mob1a	All
Mpeg1	All
Mpp2	All
Mrc2	All
Mroh2a	All
Mrpl32	All
Ms4a6d	All
Msmo1	All
Msn	All
Msrb1	All
Mt1	All
Mt2	All
Mtif2	All
Mtrr	All
Mul1	All
Mutyh	All
Mybpc1	All
Myh9	All
Mylip	All
Mylk3	All
Myo1e	All
Myo1f	All
Myo6	All
Myorg	All
Mzf1	All
Naaladl1	All
Naaladl2	All
Naglu	All
Naip2	All
Naip5	All
Nanos1	All
Nap1l2	All
Napepld	All
Ncald	All
Ncf1	All
Ncf2	All
Nckap1l	All
Ncoa5	All
Ndufb2	All
Necap2	All
Nfam1	All
Nfatc1	All
Nfe2l2	All
Nipsnap3b	All
Nkain1	All
Nkd2	All
Nkg7	All
Nle1	All
Nme1	All
Nol4	All
Nos3	All
Notch4	All
Npc2	All
Nptx2	All
Npy5r	All
Nr4a1	All
Nr4a3	All
Nrarp	All
Nrbp1	All
Nrros	All
Nsdhl	All
Ntng1	All
Nxt1	All
Oas1g	All
Oasl2	All
Obsl1	All
Olfml3	All
Olfr110	All
Olfr111	All
Opalin	All
Osmr	All
Ostn	All
Otc	All
Otud1	All
Oxnad1	All
P2rx7	All
P2ry12	All
P2ry13	All
P3h1	All
P4ha1	All
Pabpc1	All
Pacc1	All
Pag1	All
Palmd	All
Pard6a	All
Parp12	All
Parp9	All
Parvb	All
Parvg	All
Pask	All
Pbk	All
Pbxip1	All
Pcdha5	All
Pcdhga7	All
Pcp2	All
Pcsk1	All
Pdcd1	All
Pdcd5	All
Pdlim2	All
Pdp1	All
Pdpn	All
Pebp4	All
Peli3	All
Pepd	All
Per1	All
Per2	All
Pex12	All
Pgbd1	All
Phf21a	All
Phf21b	All
Phf8	All
Pick1	All
Pik3ap1	All
Pik3cg	All
Pin4	All
Pitpnm3	All
Plau	All
Plaur	All
Plce1	All
Plcg2	All
Plch1	All
Pld4	All
Plek	All
Plekha1	All
Plekha7	All
Plekho2	All
Plet1	All
Plin3	All
Plxdc2	All
Plxnb2	All
Pmm2	All
Pmp22	All
Pnpla7	All
Pnrc2	All
Poglut3	All
Pomgnt2	All
Pon3	All
Pou3f2	All
Pou3f3	All
Pou5f2	All
Ppp1r18	All
Ppp1r3g	All
Ppt1	All
Prdm15	All
Prdx1	All
Prdx6	All
Prkd3	All
Pros1	All
Prpf3	All
Prss30	All
Psd	All
Psg17	All
Pspn	All
Ptafr	All
Ptchd4	All
Ptgs1	All
Ptpn6	All
Ptpn9	All
Ptprc	All
Pttg1ip	All
Pycard	All
Pygm	All
Qrfpr	All
R3hdm2	All
Rab31	All
Rab32	All
Rab3il1	All
Rab7b	All
Rack1	All
Ramp2	All
Rara	All
Rasal3	All
Rasd1	All
Rasgrf1	All
Rasgrp3	All
Rasl11a	All
Raver2	All
Rbm12b1	All
Rbm47	All
Rdh11	All
Rdh7	All
Rec8	All
Reep3	All
Renbp	All
Rep15	All
Ret	All
Rgs10	All
Rgs8	All
Rhbdl3	All
Rhob	All
Rhoc	All
Rhog	All
Rida	All
Rin2	All
Rnase4	All
Rnf213	All
Rnf219	All
Rnf220	All
Rpe65	All
Rpl10	All
Rpl10a	All
Rpl13	All
Rpl18a	All
Rpl22	All
Rpl5	All
Rpl7	All
Rplp0	All
Rps12	All
Rps16	All
Rps6ka1	All
Rpusd4	All
Rrbp1	All
Rtl5	All
Rtp4	All
Rundc1	All
Runx1	All
Runx1t1	All
Rybp	All
Ryr1	All
S100a6	All
S100a8	All
S100b	All
S1pr1	All
S1pr3	All
Saal1	All
Sall1	All
Samd10	All
Samm50	All
Samsn1	All
Sat1	All
Sbk1	All
Sbno2	All
Sbspon	All
Sc5d	All
Scamp2	All
Scarf1	All
Scn2a	All
Scrg1	All
Sct	All
Sdk2	All
Sec23ip	All
Sectm1a	All
Selenop	All
Selplg	All
Sema4d	All
Sema6c	All
Septin2	All
Serinc5	All
Serp1	All
Serpina3i	All
Serpina3k	All
Serpina3n	All
Serpinb8	All
Serpine2	All
Serping1	All
Serpini1	All
Sertad4	All
Setbp1	All
Setd4	All
Sfrp1	All
Sgpl1	All
Sgsm1	All
Sh3bp2	All
Sh3glb1	All
Shbg	All
Shisa9	All
Siah2	All
Siah3	All
Siglecf	All
Siglech	All
Sik1	All
Sirt2	All
Six4	All
Six5	All
Skap2	All
Slamf9	All
Slc10a2	All
Slc11a1	All
Slc14a1	All
Slc17a9	All
Slc18a3	All
Slc22a3	All
Slc23a3	All
Slc27a5	All
Slc29a3	All
Slc2a3	All
Slc31a1	All
Slc37a2	All
Slc39a2	All
Slc43a3	All
Slc44a1	All
Slc44a2	All
Slc46a3	All
Slc7a2	All
Slc9a5	All
Slco2b1	All
Slfn8	All
Smim8	All
Smug1	All
Snapin	All
Snrpa1	All
Sntg2	All
Snx18	All
Socs7	All
Sorbs3	All
Sord	All
Sowaha	All
Sowahc	All
Sox11	All
Sox18	All
Sox9	All
Spaca9	All
Sparc	All
Spata13	All
Spata32	All
Spi1	All
Spice1	All
Spink10	All
Spp1	All
Spred1	All
Spred3	All
Spry2	All
Spry4	All
Sptbn5	All
Sqle	All
Srgn	All
Sst	All
Sstr4	All
St14	All
St3gal6	All
St8sia6	All
Stard4	All
Stat1	All
Stat3	All
Steap4	All
Sting1	All
Stk32b	All
Ston2	All
Stpg1	All
Stxbp3	All
Sult1d1	All
Syngr2	All
Synj2bp	All
Sypl2	All
Tac2	All
Tagln2	All
Tap1	All
Tapbp	All
Tbc1d1	All
Tbxas1	All
Tcf7	All
Tcim	All
Tcirg1	All
Tcn2	All
Tctn1	All
Tdg	All
Tdp1	All
Tec	All
Teddm1a	All
Teddm3	All
Tenm2	All
Tent5c	All
Tep1	All
Tfcp2l1	All
Tfrc	All
Tgfb1	All
Tgfbr1	All
Tgfbr2	All
Tgif1	All
Thbs1	All
