A151	A152	A153	B157	B158	B159	C165	C166	C168	D174	D176	D177
1110065P20Rik	2.83776046111795	2.78814025892502	2.87906494326108	3.01907414898215	2.73822218959607	2.76807160431104	2.50404359117833	2.83812323526407	3.04061830377038	2.74452459917828	2.81429905468454	2.84939996183668
1190005I06Rik	0.285856287352469	2.16950903333783	2.28633107741848	2.43712453817839	2.72899307881437	3.1954102957741	2.20269898673228	2.2291441073677	2.4291367107174	1.81394306976323	2.0581555657112	2.40286527078002
1190007I07Rik	2.5191252997785	2.30650893915721	2.79493136925181	2.26615992010707	2.47707914732296	2.4661751901194	2.36888630819795	2.61313716660198	2.42693178664337	2.12505065605717	2.83963629272692	2.40121072337125
1300017J02Rik	0.604020898633266	0.939753688760318	0.784768521423616	0.624653296891784	0.626098304337226	0.771822410252678	0.729080410538763	0.704459588599667	0.810124633449312	0.656941236764544	1.00328254624128	0.525304805943098
1500009C09Rik	4.65390643387507	4.63916884639772	4.45926168384814	4.66002101583206	4.66707915492988	4.66641916027244	4.62293339227083	4.34981031308084	4.60504282307973	4.57396747959957	4.53748715274327	4.75504612374895
1500009L16Rik	1.32895358018844	1.60344265108525	1.50508110761374	0.945319155997305	1.35622139737361	1.4465093848118	1.48720887214766	1.18224341936752	1.30884739431007	1.27287237884214	1.49158003613807	1.39289276347628
1500011B03Rik	4.65406056777559	4.56447882014315	4.62857629905324	4.72736382192825	4.57627464451839	4.45453481993115	4.48714124088535	4.53221844351753	4.73884070499614	4.58612491914267	4.57873941552951	4.62631580714472
1600012H06Rik	2.99037022585282	3.1105460916842	3.21552376133724	3.09895757661887	3.25438194266937	2.96439227994753	3.22368203462202	3.24140439048738	3.14089097841729	2.9723569244908	3.23977178561703	3.15243171093444
1600014C10Rik	2.62065226027622	2.60240062040636	2.65660203153951	2.56511564864581	2.49361010043918	2.66450334686892	2.56539136105286	2.7949900020102	2.564209091608	2.63509620083069	2.4953654891129	2.65347829353619
1700001K19Rik	1.37990179184345	2.00786068064827	2.28912748462397	1.96594784346144	1.90357525083273	2.0969874248987	2.48141570329436	2.42613647707649	1.99882904640333	2.26118603650534	2.12657719294905	1.59392557188709
1700001L19Rik	2.87385266337494	2.92380735979899	2.91767752831748	2.60430029732346	3.30950278260439	2.39610731200977	2.53163619389615	2.81169950405608	2.96116791741429	2.73033910737742	2.94201767401132	2.78899423021354
1700001O22Rik	1.49736403278474	1.5125324035746	1.1658747681628	1.51585231938465	1.6063015002157	1.21573248724633	1.53480032690165	1.19847764540541	1.44218124102307	1.70466530281168	1.28594259427716	1.3451609586102
1700001P01Rik	0.665305431442527	0.902434898663538	0.774674453668034	0.22695936773497	1.67758948402291	0.486045177757801	1.31080167648237	0.147247929905643	0.583207532177017	0.510653112805384	1.45125061679844	0.604353256706639
1700003E16Rik	3.41793314697797	3.14685444526799	3.52717205468895	3.36076183293026	3.39324904429267	3.26843619228021	3.38301756574777	3.30148600423935	3.37425959608144	3.41654433201054	3.27424575124143	3.39261458824522
1700003F12Rik	3.01486085071919	2.67354803731455	2.39364737566031	2.80705576948714	2.95445450291056	2.2290149121089	2.91127729718626	2.54623439675237	2.5511342940337	2.04334334625595	3.23949206280476	2.86268770257108
1700007K13Rik	0.90518638668978	0.706101218934331	0.503256350777786	0.926990960411152	0.760944887542306	0.580026879709174	0.341829297275779	0.899142065297901	0.756480862854248	0.452270229434232	0.527556179131706	1.0719754312312
1700008O03Rik	1.18704650286678	0.932212532515498	1.2252045698967	0.815046087314224	0.659745938057023	1.21181564584433	0.781723396560879	1.04914924099391	0.947144102070514	0.6965422709762	1.03596638352378	1.19427146416108
1700013F07Rik	1.29500936484301	1.63134072192367	1.47282664790194	1.25395929292946	1.48680912792887	1.69250032553759	1.5727441698687	1.44364497229894	1.38339211705568	1.45149840230069	1.5553218232812	1.41425961536289
1700015F17Rik	0.418634217657768	1.194095720783	-0.0241960322713504	1.67184839336536	2.86588907427333	2.12491802967791	0.298838294076326	2.50238115435724	0.597303576688663	-0.271363085035522	2.7416799876979	0.775357475809918
1700016K19Rik	1.74873496881988	1.22795535837608	1.98471818467337	1.33386953270108	1.10723487600369	1.63853997224642	1.18124914242228	1.26946415328636	1.63411238587653	1.62462471859265	1.70262182028533	1.1090607669501
