ad_10m_wt_10m	ad_10m_ad_3m	ad_10m_wt_3m	wt_10m_ad_3m	wt_10m_wt_3m	ad_3m_wt_3m
1700008O03Rik	0.999927486388689	0.999999620311648	0.524834155247842	0.999959046206668	0.555761542272555	0.530156077486729
1700013F07Rik	0.39108773002844	0.955321173190942	0.27798336620284	0.657027476290104	0.991932970735831	0.504140479236025
1700015F17Rik	0.763358965923798	0.941067658752267	0.832926257375473	0.458451065417693	0.329402008208983	0.991506709325335
1700016K19Rik	0.624052104388104	0.881100282770843	0.104118922465718	0.956427134426532	0.507476909846812	0.281885595690235
1700017B05Rik	0.149390855972165	0.180264477184707	0.124066845981489	0.999005324463982	0.999074637257344	0.992535138368517
1700018G05Rik	0.686570675045828	0.90443978379904	0.878424356275795	0.341298057377433	0.97952368390889	0.525998668078625
1700019A02Rik	0.839103473976426	0.974663730153099	0.95586048005418	0.974056909830057	0.569057842657015	0.796826894742138
1700019D03Rik	0.102891220564393	0.00390354112574853	0.0681605578582409	0.144252866410521	0.990683851186413	0.214702275729385
1700020D05Rik	0.878508597993045	0.707768534574666	0.492592310411895	0.984829460882785	0.879944769982202	0.97834751402745
1700020L24Rik	0.54192606649686	0.771495520091012	0.55549549323887	0.974024120471306	0.999993966382448	0.978187174418489
1700022I11Rik	0.999996810324545	0.964307067351476	0.996638026664769	0.96844244093767	0.99751910918859	0.993311211431068
1700025G04Rik	0.0498655809431646	0.025271605170496	0.00234510247441033	0.959522228512928	0.160967628925008	0.307143897198115
1700028K03Rik	0.309947395173129	0.144196015306171	0.0712719174870291	0.936724152429341	0.712118639285157	0.956412164922048
1700028P14Rik	0.998017553425385	0.991666678686827	0.692007934958847	0.99950586440674	0.784769985676799	0.837805720518796
1700029H14Rik	0.409912917004825	0.9997786694338	0.999536685909834	0.372047291186075	0.461742584028038	0.997414548555709
1700029I15Rik	0.899387650022631	0.566116145192144	0.998563669774342	0.911754954843694	0.948882306888418	0.652469765028662
1700029J07Rik	0.999405549691725	0.991459884487626	0.999030411043377	0.998168572593328	0.994010931065018	0.973650776957024
1700030J22Rik	0.173713903163501	0.411240450204934	0.194822069795326	0.9036300721032	0.999765272809136	0.932103999997629
1700030K09Rik	0.342519608103835	0.249043802455941	0.858028782765287	0.99394470081183	0.75098693216676	0.611601208627361
1700034I23Rik	0.844383146493447	0.225299854876455	0.0999855724726203	0.58614802849232	0.302687179333846	0.932288378153876
1700034J05Rik	0.707789787211428	0.44540586879623	0.305457948917035	0.960618257838975	0.852273745512991	0.988119906439689
1700037C18Rik	0.999399607529283	0.998186487005527	0.605474440820125	0.999945291076616	0.541707830470677	0.51379558849496
1700037H04Rik	0.625146696484821	0.897034236756661	0.6976712912118	0.946631111533747	0.999151304787542	0.975135632472139
1700064H15Rik	0.123804453169717	0.831707000915563	0.915548738141462	0.377042439271356	0.293515125848867	0.996745156802882
1700066M21Rik	0.999982592135725	0.982881889361559	0.973920240721792	0.977616540237668	0.979729929607958	0.862559176298746
1700067K01Rik	0.970067260374906	0.960491119674311	0.626136499862032	0.794136869522237	0.855795004891882	0.376145666242949
1700086D15Rik	0.808532454800268	0.996499329500699	0.868097858697045	0.900134401851869	0.999164994452301	0.942436356830548
1700088E04Rik	0.275275540259555	0.0656748971225677	0.245670190677925	0.731634856510549	0.999736159938384	0.778237998313309
1700092M07Rik	0.912920741882524	0.955629759016942	0.948549681293531	0.998836211367179	0.653624272592016	0.733481229462326
1700094D03Rik	0.492817394136136	0.459177827929443	0.34517309974125	0.999890094057287	0.988737891854253	0.994351322405308
1700109H08Rik	0.999991686849619	0.726157690373846	0.811715997581613	0.741159204488764	0.825128134576899	0.998289855116019
1700123L14Rik	0.298855471462027	0.0188123816226011	0.01281969888478	0.261894189447345	0.17863205309385	0.991093278599166
1700123O20Rik	0.159315344551867	0.00354791681377975	0.0133665318785664	0.0830715871990912	0.34474503459229	0.724303558056831
1810009A15Rik	0.378461226066336	0.6755022653191	0.768502290931973	0.939130091609062	0.104127311151761	0.227051838139196
1810010H24Rik	0.253761485253177	0.979806510376786	0.531280390027438	0.40644660173096	0.920280404312458	0.742322880713852
1810013L24Rik	0.853727022820454	0.988329472531183	0.999438448820861	0.9609146776935	0.800114126397903	0.971949205752008
1810020O05Rik	0.0672489380680918	0.589940162820894	0.020431692678135	0.384762634430947	0.826688801292531	0.124944860202878
1810030O07Rik	0.993652292622642	0.684890739108153	0.829088611282108	0.819925465804186	0.930705876939663	0.992158161518181
1810037I17Rik	0.345588506678741	0.0684319292116555	0.651749043575904	0.646997877474115	0.929116833936948	0.342037801174029
1810049J17Rik	0.89457967937777	0.439237028572388	0.18672614377591	0.814374690933915	0.448694203540455	0.901792799539789
1810055G02Rik	0.697745139442352	0.854874774699033	0.147186646297638	0.989087737455788	0.570277846389239	0.410946853427626
1810058I24Rik	0.126172697703462	0.370272829658893	0.531719894969468	0.84505878244729	0.67541131213485	0.9870971776381
2010003K11Rik	0.666728029901579	0.538424414706801	0.984337576697181	0.125620861382822	0.848298845594337	0.36575562499337
2010106E10Rik	0.234476386191732	0.99539929241931	0.143973978256319	0.172248880119503	0.982947639713908	0.104494343857682
2010109A12Rik	0.324745173849857	0.974853592422363	0.176136616669152	0.189899849529945	0.964170796113287	0.0993149369633934
2010300C02Rik	0.535408298868931	0.999373508103803	0.552447306109509	0.473591016330991	0.999987950127773	0.489782094388881
2010315B03Rik	0.561094645957144	0.613722445702912	0.553156301986875	0.999667568742044	0.99999880903615	0.99949150729766
2200002D01Rik	0.780624682233673	0.834973675941338	0.772237472326881	0.999478352437903	0.999998342641593	0.999214975121
2210016F16Rik	0.989698391726403	0.826284078614658	0.775036133085083	0.942567240885433	0.609050219903424	0.332776093227132
2210016L21Rik	0.167238221084274	0.998004402212098	0.652042139560035	0.131665454356792	0.667781973813167	0.555751952452143
2210407C18Rik	0.972011861935702	0.999999990272332	0.978150799770127	0.972546561469609	0.999982014093613	0.978610561837295
2210408I21Rik	0.959333818401133	0.75587572506118	0.999691422322915	0.955137966965583	0.934832647066225	0.7057078903811
2300009A05Rik	0.9033171386611	0.983681209090744	0.820027863847405	0.737699663676629	0.997189710360367	0.630053948078296
2310009B15Rik	0.984238457549769	0.908192150683585	0.999995603922452	0.988607398046624	0.981167585142265	0.899986521642132
2310011J03Rik	0.999707008643403	0.982086172053828	0.989767176525291	0.992170851364244	0.996431807612074	0.999895276194625
2310022A10Rik	0.750202608273353	0.997782437306784	0.349316629556779	0.840103825692916	0.865685098598472	0.430988476419466
